N_Packets,N_Bytes,Idle_age,Source,Destination,Switch,Traffic,Controller,Duration,time
1,42,18,10.0.0.2,10.0.0.6,1,low,6633,18.459,0.459
1,42,23,10.0.0.6,10.0.0.2,1,low,6633,23.477,0.477
1,42,18,10.0.0.6,10.0.0.2,1,low,6633,18.463,0.463
20,1960,4,10.0.0.2,10.0.0.6,1,high,6633,23.47,19.47
20,1960,4,10.0.0.6,10.0.0.2,1,high,6633,23.47,19.47
2,84,16,10.0.0.2,10.0.0.6,1,low,6633,66.003,50.003
2,84,16,10.0.0.6,10.0.0.2,1,low,6633,66.007,50.007
40,3920,20,10.0.0.2,10.0.0.6,1,high,6633,71.014,51.014
40,3920,20,10.0.0.6,10.0.0.2,1,high,6633,71.014,51.014
1,42,21,10.0.0.21,10.0.0.22,12,low,6634,21.182,0.182
8,5447,16,10.0.0.21,10.0.0.22,12,low,6634,16.436,0.436
7,470,16,10.0.0.22,10.0.0.21,12,low,6634,16.436,0.436
11,5645,21,10.0.0.21,10.0.0.22,12,high,6634,21.178,0.178
2,140,19,10.0.0.21,10.0.0.22,12,low,6634,19.209,0.209
11,5657,17,10.0.0.21,10.0.0.22,12,low,6634,17.445,0.445
10,5579,18,10.0.0.21,10.0.0.22,12,low,6634,18.243,0.243
9,675,17,10.0.0.22,10.0.0.21,12,low,6634,17.445,0.445
12,849,18,10.0.0.22,10.0.0.21,12,low,6634,18.249,0.249
11,807,21,10.0.0.22,10.0.0.21,12,low,6634,21.18,0.18
11,783,19,10.0.0.22,10.0.0.21,12,low,6634,19.218,0.218
2,84,56,10.0.0.2,10.0.0.6,1,low,6633,106.489,50.489
2,84,56,10.0.0.6,10.0.0.2,1,low,6633,106.493,50.493
60,5880,15,10.0.0.2,10.0.0.6,1,low,6633,111.5,96.5
60,5880,15,10.0.0.6,10.0.0.2,1,high,6633,111.5,96.5
7,470,6,10.0.0.22,10.0.0.21,12,high,6634,6.047,0.047
10,5591,6,10.0.0.21,10.0.0.22,12,low,6634,6.047,0.047
9,667,7,10.0.0.22,10.0.0.21,12,low,6634,7.86,0.86
7,470,5,10.0.0.22,10.0.0.21,12,low,6634,5.231,0.231
10,741,6,10.0.0.22,10.0.0.21,12,low,6634,6.941,0.941
8,5447,5,10.0.0.21,10.0.0.22,12,low,6634,5.229,0.229
10,741,4,10.0.0.22,10.0.0.21,12,low,6634,4.42,0.42
15,5945,7,10.0.0.21,10.0.0.22,12,high,6634,7.865,0.865
9,5513,4,10.0.0.21,10.0.0.22,12,low,6634,4.419,0.419
10,5579,6,10.0.0.21,10.0.0.22,12,low,6634,6.939,0.939
7,470,58,10.0.0.22,10.0.0.21,12,low,6634,58.394,0.394
10,5591,58,10.0.0.21,10.0.0.22,12,low,6634,58.394,0.394
9,667,60,10.0.0.22,10.0.0.21,12,low,6634,60.207,0.207
7,470,57,10.0.0.22,10.0.0.21,12,low,6634,57.578,0.578
10,741,59,10.0.0.22,10.0.0.21,12,low,6634,59.288,0.288
8,5447,57,10.0.0.21,10.0.0.22,12,low,6634,57.576,0.576
10,741,56,10.0.0.22,10.0.0.21,12,low,6634,56.767,0.767
15,5945,60,10.0.0.21,10.0.0.22,12,high,6634,60.212,0.212
9,5513,56,10.0.0.21,10.0.0.22,12,low,6634,56.766,0.766
10,5579,59,10.0.0.21,10.0.0.22,12,low,6634,59.286,0.286
3,126,9,10.0.0.2,10.0.0.6,1,low,6633,71.624,62.624
3,126,9,10.0.0.6,10.0.0.2,1,low,6633,71.63,62.63
63,6174,11,10.0.0.6,10.0.0.2,1,high,6633,76.633,65.633
59,5782,11,10.0.0.2,10.0.0.6,1,high,6633,75.633,64.633
4,168,3,10.0.0.22,10.0.0.21,12,low,6634,93.781,90.781
5,210,3,10.0.0.21,10.0.0.22,12,low,6634,93.779,90.779
4066440,184944079184,6,10.0.0.21,10.0.0.22,12,high,6634,56.962,50.962
3240920,213939792,6,10.0.0.22,10.0.0.21,12,high,6634,56.962,50.962
5,210,19,10.0.0.2,10.0.0.6,1,low,6633,153.823,134.823
5,210,19,10.0.0.6,10.0.0.2,1,low,6633,153.829,134.829
103,10094,7,10.0.0.6,10.0.0.2,1,high,6633,158.832,151.832
99,9702,7,10.0.0.2,10.0.0.6,1,high,6633,157.832,150.832
2269624,149962156,50,10.0.0.22,10.0.0.21,12,high,6634,100.279,50.279
3196294,148609418860,50,10.0.0.21,10.0.0.22,12,high,6634,100.269,50.269
3,126,8,10.0.0.2,10.0.0.6,1,low,6633,49.024,41.024
2,84,8,10.0.0.6,10.0.0.2,1,low,6633,49.034,41.034
1766047,88881626158,4,10.0.0.2,10.0.0.6,1,high,6633,54.05,50.05
714156,47451192,4,10.0.0.6,10.0.0.2,1,high,6633,54.062,50.062
1,42,14,10.0.0.22,10.0.0.21,12,low,6634,14.706,0.706
2,84,14,10.0.0.21,10.0.0.22,12,low,6634,14.693,0.693
1823578,92154370364,3,10.0.0.21,10.0.0.22,12,high,6634,53.791,50.791
830067,55098250,3,10.0.0.22,10.0.0.21,12,high,6634,53.791,50.791
2,84,17,10.0.0.2,10.0.0.6,1,low,6633,17.223,0.223
1,42,17,10.0.0.6,10.0.0.2,1,low,6633,17.223,0.223
1729083,86059981206,7,10.0.0.2,10.0.0.6,1,high,6633,57.687,50.687
702142,46671268,7,10.0.0.6,10.0.0.2,1,high,6633,57.706,50.706
1,42,14,10.0.0.22,10.0.0.21,12,low,6634,14.798,0.798
2,84,14,10.0.0.21,10.0.0.22,12,low,6634,14.794,0.794
1046776,69362900,3,10.0.0.22,10.0.0.21,12,high,6634,53.844,50.844
1936380,92963198608,3,10.0.0.21,10.0.0.22,12,high,6634,53.809,50.809
8,784,0,10.0.0.22,10.0.0.21,12,low,6634,7.741,7.741
8,784,0,10.0.0.21,10.0.0.22,12,low,6634,7.749,7.749
1518654,100323900,47,10.0.0.22,10.0.0.21,12,high,6634,97.068,50.068
2424576,113721149672,47,10.0.0.21,10.0.0.22,12,high,6634,97.071,50.071
5,210,20,10.0.0.2,10.0.0.6,1,low,6633,154.279,134.279
4,168,20,10.0.0.6,10.0.0.2,1,low,6633,154.279,134.279
3824636,173288590104,7,10.0.0.2,10.0.0.6,1,high,6633,57.638,50.638
3064667,202365230,7,10.0.0.6,10.0.0.2,1,high,6633,57.643,50.643
40,3920,3,10.0.0.22,10.0.0.21,12,high,6634,56.138,53.138
40,3920,3,10.0.0.21,10.0.0.22,12,high,6634,56.146,53.146
1,42,25,10.0.0.21,10.0.0.22,12,low,6634,25.953,0.953
60,5880,11,10.0.0.22,10.0.0.21,12,high,6634,135.012,124.012
60,5880,11,10.0.0.21,10.0.0.22,12,high,6634,135.02,124.02
1,42,22,10.0.0.2,10.0.0.6,1,low,6633,22.68,0.68
1,42,22,10.0.0.6,10.0.0.2,1,low,6633,22.689,0.689
3868630,176833095964,4,10.0.0.2,10.0.0.6,1,high,6633,54.568,50.568
3137526,207197884,4,10.0.0.6,10.0.0.2,1,high,6633,54.574,50.574
3,126,17,10.0.0.2,10.0.0.6,1,low,6633,82.051,65.051
3,126,17,10.0.0.6,10.0.0.2,1,low,6633,82.06,65.06
1962260,129863460,4,10.0.0.6,10.0.0.2,1,high,6633,54.672,50.672
2918169,135992295082,4,10.0.0.2,10.0.0.6,1,high,6633,54.672,50.672
3,126,46,10.0.0.22,10.0.0.21,12,low,6634,120.923,74.923
7,294,46,10.0.0.21,10.0.0.22,12,low,6634,164.997,118.997
120,11760,35,10.0.0.22,10.0.0.21,12,high,6634,274.056,239.056
120,11760,35,10.0.0.21,10.0.0.22,12,high,6634,274.064,239.064
10,804,10,10.0.0.2,10.0.0.6,1,high,6633,10.185,0.185
8,536,8,10.0.0.2,10.0.0.6,1,low,6633,8.434,0.434
9,674,7,10.0.0.2,10.0.0.6,1,low,6633,7.587,0.587
2918169,135992295082,56,10.0.0.2,10.0.0.6,1,high,6633,106.73,50.73
1962260,129863460,56,10.0.0.6,10.0.0.2,1,high,6633,106.73,50.73
9,5513,7,10.0.0.6,10.0.0.2,1,low,6633,7.586,0.586
12,5747,10,10.0.0.6,10.0.0.2,1,high,6633,10.186,0.186
9,5513,8,10.0.0.6,10.0.0.2,1,low,6633,8.432,0.432
10,5579,3,10.0.0.6,10.0.0.2,1,high,6633,3.207,0.207
8,536,19,10.0.0.2,10.0.0.6,1,low,6633,19.691,0.691
10,804,21,10.0.0.2,10.0.0.6,1,high,6633,21.442,0.442
11,5645,7,10.0.0.6,10.0.0.2,1,high,6633,7.335,0.335
13,5777,6,10.0.0.6,10.0.0.2,1,high,6633,6.586,0.586
9,674,5,10.0.0.2,10.0.0.6,1,low,6633,5.93,0.93
8,608,7,10.0.0.2,10.0.0.6,1,low,6633,7.336,0.336
9,5513,19,10.0.0.6,10.0.0.2,1,low,6633,19.689,0.689
12,5747,21,10.0.0.6,10.0.0.2,1,low,6633,21.443,0.443
7,470,5,10.0.0.2,10.0.0.6,1,low,6633,5.249,0.249
8,5447,8,10.0.0.6,10.0.0.2,1,low,6633,8.255,0.255
10,5579,4,10.0.0.6,10.0.0.2,1,low,6633,4.551,0.551
9,674,18,10.0.0.2,10.0.0.6,1,low,6633,18.844,0.844
7,470,8,10.0.0.2,10.0.0.6,1,low,6633,8.256,0.256
11,806,3,10.0.0.2,10.0.0.6,1,low,6633,3.21,0.21
10,740,6,10.0.0.2,10.0.0.6,1,low,6633,6.586,0.586
12,5711,5,10.0.0.6,10.0.0.2,1,high,6633,5.93,0.93
8,5447,5,10.0.0.6,10.0.0.2,1,high,6633,5.247,0.247
9,602,4,10.0.0.2,10.0.0.6,1,low,6633,4.553,0.553
9,5513,18,10.0.0.6,10.0.0.2,1,high,6633,18.843,0.843
1,42,13,10.0.0.2,10.0.0.6,1,low,6633,13.166,0.166
1,42,13,10.0.0.6,10.0.0.2,1,low,6633,13.162,0.162
11,772,13,10.0.0.6,10.0.0.2,1,high,6633,34.122,21.122
1975,1070450,14,10.0.0.2,10.0.0.6,1,high,6633,34.113,20.113
10,721,13,10.0.0.2,10.0.0.6,1,high,6633,34.122,21.122
3,126,12,10.0.0.2,10.0.0.6,1,high,6633,75.629,63.629
3,126,12,10.0.0.6,10.0.0.2,1,high,6633,75.625,63.625
8,569,12,10.0.0.2,10.0.0.6,1,high,6633,33.51,21.51
7,476,12,10.0.0.6,10.0.0.2,1,low,6633,33.507,21.507
1972,1068824,13,10.0.0.2,10.0.0.6,1,high,6633,33.501,20.501
1973,1069366,39,10.0.0.2,10.0.0.6,1,high,6633,59.041,20.041
12,834,38,10.0.0.2,10.0.0.6,1,low,6633,59.058,21.058
7,476,38,10.0.0.6,10.0.0.2,1,low,6633,59.048,21.048
8,549,3,10.0.0.22,10.0.0.21,12,low,6634,24.603,21.603
1972,1068824,32,10.0.0.21,10.0.0.22,12,high,6634,52.894,20.894
9,635,3,10.0.0.21,10.0.0.22,12,low,6634,24.605,21.605
8,569,31,10.0.0.21,10.0.0.22,12,low,6634,52.899,21.899
7,476,31,10.0.0.22,10.0.0.21,12,low,6634,52.897,21.897
1973,1069366,4,10.0.0.21,10.0.0.22,12,high,6634,24.592,20.592
9,635,35,10.0.0.2,10.0.0.6,1,low,6633,56.058,21.058
11,768,8,10.0.0.2,10.0.0.6,1,low,6633,29.684,21.684
1975,1070450,9,10.0.0.2,10.0.0.6,1,high,6633,29.667,20.667
7,476,35,10.0.0.6,10.0.0.2,1,low,6633,56.057,21.057
7,476,8,10.0.0.6,10.0.0.2,1,low,6633,29.677,21.677
1974,1069908,36,10.0.0.2,10.0.0.6,1,high,6633,56.05,20.05
10,702,52,10.0.0.21,10.0.0.22,12,low,6634,73.689,21.689
1973,1069366,8,10.0.0.21,10.0.0.22,12,high,6634,28.546,20.546
11,760,7,10.0.0.22,10.0.0.21,12,low,6634,28.555,21.555
7,476,7,10.0.0.21,10.0.0.22,12,low,6634,28.555,21.555
1974,1069908,53,10.0.0.21,10.0.0.22,12,high,6634,73.679,20.679
14,966,52,10.0.0.22,10.0.0.21,12,high,6634,73.688,21.688
9,616,9,10.0.0.6,10.0.0.2,1,low,6633,30.659,21.659
1975,1070450,56,10.0.0.2,10.0.0.6,1,high,6633,76.263,20.263
7,476,55,10.0.0.2,10.0.0.6,1,low,6633,76.273,21.273
9,635,9,10.0.0.2,10.0.0.6,1,low,6633,30.662,21.662
13,899,55,10.0.0.6,10.0.0.2,1,low,6633,76.273,21.273
1976,1070992,10,10.0.0.2,10.0.0.6,1,high,6633,30.654,20.654
1974,1069908,10,10.0.0.21,10.0.0.22,12,high,6634,30.593,20.593
1974,1069908,51,10.0.0.21,10.0.0.22,12,high,6634,71.986,20.986
7,476,50,10.0.0.22,10.0.0.21,12,low,6634,71.994,21.994
7,476,9,10.0.0.22,10.0.0.21,12,low,6634,30.598,21.598
9,635,9,10.0.0.21,10.0.0.22,12,low,6634,30.599,21.599
8,569,50,10.0.0.21,10.0.0.22,12,low,6634,71.997,21.997
9,635,4,10.0.0.2,10.0.0.6,1,low,6633,15.701,11.701
8,569,60,10.0.0.2,10.0.0.6,1,low,6633,71.704,11.704
10,701,40,10.0.0.2,10.0.0.6,1,low,6633,51.321,11.321
7,476,4,10.0.0.6,10.0.0.2,1,low,6633,15.699,11.699
13,888,60,10.0.0.6,10.0.0.2,1,high,6633,71.704,11.704
497,78526,41,10.0.0.2,10.0.0.6,1,high,6633,51.312,10.312
497,78526,5,10.0.0.2,10.0.0.6,1,high,6633,15.692,10.692
7,476,40,10.0.0.6,10.0.0.2,1,low,6633,51.318,11.318
497,78526,36,10.0.0.2,10.0.0.6,1,high,6633,46.536,10.536
497,78526,4,10.0.0.2,10.0.0.6,1,high,6633,14.555,10.555
10,702,3,10.0.0.2,10.0.0.6,1,low,6633,14.565,11.565
7,476,3,10.0.0.6,10.0.0.2,1,low,6633,14.563,11.563
10,702,35,10.0.0.2,10.0.0.6,1,low,6633,46.545,11.545
7,476,35,10.0.0.6,10.0.0.2,1,low,6633,46.543,11.543
12,834,21,10.0.0.21,10.0.0.22,12,low,6634,32.35,11.35
12,849,35,10.0.0.22,10.0.0.21,12,low,6634,46.868,11.868
13,888,21,10.0.0.22,10.0.0.21,12,low,6634,32.345,11.345
498,78684,36,10.0.0.21,10.0.0.22,12,high,6634,46.859,10.859
7,468,35,10.0.0.21,10.0.0.22,12,low,6634,46.865,11.865
497,78526,22,10.0.0.21,10.0.0.22,12,high,6634,32.335,10.335
